2026-05-10 15:24:46 | INFO     | app.utils.logging_config       | Logging configured. Level=INFO, File=enabled
2026-05-10 15:24:46 | INFO     | __main__                       | Starting Agentic RAG System...
2026-05-10 15:24:46 | INFO     | app.utils.config               | No .env file found; relying on environment variables.
2026-05-10 15:24:46 | WARNING  | app.utils.config               | OPENAI_API_KEY is not set but embedding_backend='openai'. Will fall back to sentence-transformers.
2026-05-10 15:24:46 | INFO     | app.utils.config               | Configuration validated successfully.
2026-05-10 15:24:46 | INFO     | app.utils.pipeline             | Initializing RAG Pipeline components...
2026-05-10 15:24:46 | INFO     | app.ingestion.document_loader  | DocumentLoader initialized.
2026-05-10 15:24:46 | INFO     | app.ingestion.chunker          | TextChunker initialized: chunk_size=800, chunk_overlap=150
2026-05-10 15:24:46 | INFO     | app.embeddings.embedding_manager | EmbeddingManager created with backend='openai'
2026-05-10 15:24:46 | INFO     | app.retrieval.vector_store     | VectorStoreManager initialized. Collection: 'rag_documents', Persist dir: 'vectorstore/chroma_db'
2026-05-10 15:24:46 | INFO     | app.retrieval.retriever        | RAGRetriever initialized: k=4, score_threshold=0.3
2026-05-10 15:24:46 | INFO     | app.memory.memory_manager      | MemoryManager initialized with window_size=10
2026-05-10 15:24:46 | INFO     | app.agents.rag_agent           | RAGAgent initialized. Model: gpt-4o-mini, Mode: agent, Temperature: 0.1
2026-05-10 15:24:46 | INFO     | app.utils.pipeline             | RAG Pipeline initialized successfully.
2026-05-10 15:24:46 | WARNING  | app.embeddings.embedding_manager | OPENAI_API_KEY not set. Falling back to sentence-transformers.
2026-05-10 15:24:59 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-05-10 15:25:06 | INFO     | app.embeddings.embedding_manager | Sentence-Transformers embeddings initialized with model 'all-MiniLM-L6-v2'
2026-05-10 15:25:08 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientStartEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 15:25:08 | ERROR    | chromadb.telemetry.product.posthog | Failed to send telemetry event ClientCreateCollectionEvent: capture() takes 1 positional argument but 3 were given
2026-05-10 15:25:08 | INFO     | app.retrieval.vector_store     | ChromaDB loaded. Collection 'rag_documents' has 0 existing embeddings.
2026-05-10 15:28:07 | INFO     | app.utils.logging_config       | Logging configured. Level=INFO, File=enabled
2026-05-10 15:28:07 | INFO     | __main__                       | Starting Agentic RAG System...
2026-05-10 15:28:08 | INFO     | app.utils.config               | No .env file found; relying on environment variables.
2026-05-10 15:28:08 | WARNING  | app.utils.config               | OPENAI_API_KEY is not set but embedding_backend='openai'. Will fall back to sentence-transformers.
2026-05-10 15:28:08 | INFO     | app.utils.config               | Configuration validated successfully.
2026-05-10 15:28:08 | INFO     | app.utils.pipeline             | Initializing RAG Pipeline components...
2026-05-10 15:28:08 | INFO     | app.ingestion.document_loader  | DocumentLoader initialized.
2026-05-10 15:28:08 | INFO     | app.ingestion.chunker          | TextChunker initialized: chunk_size=800, chunk_overlap=150
2026-05-10 15:28:08 | INFO     | app.embeddings.embedding_manager | EmbeddingManager created with backend='openai'
2026-05-10 15:28:08 | INFO     | app.retrieval.vector_store     | VectorStoreManager initialized. Collection: 'rag_documents', Persist dir: 'vectorstore/chroma_db'
2026-05-10 15:28:08 | INFO     | app.retrieval.retriever        | RAGRetriever initialized: k=4, score_threshold=0.3
2026-05-10 15:28:08 | INFO     | app.memory.memory_manager      | MemoryManager initialized with window_size=10
2026-05-10 15:28:08 | INFO     | app.agents.rag_agent           | RAGAgent initialized. Model: gpt-4o-mini, Mode: agent, Temperature: 0.1
2026-05-10 15:28:08 | INFO     | app.utils.pipeline             | RAG Pipeline initialized successfully.
